sn_locality;sn_section;sn_site;sn_site_old;latitude;longitude;datum;site_start_date;site_end_date;habitat;Camera_serial_number;comments
komagdalen;gargas;ko_ga_hu_1;GNY1;70.344649041071534;29.90736803971231;wgs84;24.08.2015;04.07.2016;hummock mire;;
komagdalen;gargas;ko_ga_hu_1b;GNY1-2016;70.344737973064184;29.907448003068566;wgs84;04.07.2016;NA;hummock mire;S750HG03177822;
komagdalen;gargas;ko_ga_sn_1;GNY10;70.368505027145147;29.923035996034741;wgs84;26.08.2015;04.07.2016;snowbed;;
komagdalen;gargas;ko_ga_sn_1b;GNY10-2016;70.36855498328805;29.923360962420702;wgs84;04.07.2016;NA;snowbed;S750HH02203779;
komagdalen;gargas;ko_ga_sn_2;GNY11;70.363859022036195;29.916352014988661;wgs84;26.08.2015;04.07.2016;snowbed;;
komagdalen;gargas;ko_ga_sn_2b;GNY11-2016;70.363983996212482;29.916149005293846;wgs84;04.07.2016;NA;snowbed;S750HK04275833;
komagdalen;gargas;ko_ga_hu_2;GNY2;70.350155029445887;29.90595200099051;wgs84;24.08.2015;NA;hummock mire;S750HK02272713;
komagdalen;gargas;ko_ga_hu_3;GNY3;70.349266966804862;29.897536989301443;wgs84;24.08.2015;NA;hummock mire;S750HK04275847;
komagdalen;gargas;ko_ga_hu_4;GNY4;70.351279964670539;29.887369992211461;wgs84;11.09.2014;04.07.2016;hummock mire;;
komagdalen;gargas;ko_ga_hu_4b;GNY4-2016;70.350639000535011;29.889790015295148;wgs84;04.07.2016;NA;hummock mire;S750HH02203689;
komagdalen;gargas;ko_ga_hu_5;GNY5;70.358023038133979;29.873110027983785;wgs84;24.08.2015;NA;hummock mire;S750HK01271099;
komagdalen;gargas;ko_ga_hu_6;GNY6;70.360066965222359;29.864789983257651;wgs84;24.08.2015;NA;hummock mire;S750HH02203678;
komagdalen;gargas;ko_ga_sn_3;GNY7;70.372736966237426;29.904087027534842;wgs84;26.08.2015;NA;snowbed;S750HH02203686;
komagdalen;gargas;ko_ga_sn_4;GNY8;70.369813023135066;29.905310031026602;wgs84;26.08.2015;03.07.2018;snowbed;;
komagdalen;gargas;ko_ga_sn_4b;GNY8-2018;70.3704669792205;29.9094399623572;wgs84;03.07.2018;NA;snowbed;S750HH02203676;
komagdalen;gargas;ko_ga_sn_5;GNY9;70.366439977660775;29.929129974916577;wgs84;26.08.2015;NA;snowbed;S750HH02203690;
komagdalen;hubedalen;ko_hu_hu_1;HNY1;70.313761979341507;30.102946003898978;wgs84;29.08.2015;NA;hummock mire;S750HH02203677;
komagdalen;hubedalen;ko_hu_sn_5;HNY10;70.307920966297388;30.15883200801909;wgs84;30.08.2015;NA;snowbed;S750HH02203684;
komagdalen;hubedalen;ko_hu_hu_6;HNY11;70.317698959261179;30.10277995839715;wgs84;30.08.2015;NA;hummock mire;S750HK01271098;
komagdalen;hubedalen;ko_hu_sn_1;HNY2;70.315450010821223;30.109292026609182;wgs84;29.08.2015;NA;snowbed;S750HH02203692;
komagdalen;hubedalen;ko_hu_hu_2;HNY3;70.312576023861766;30.111569976434112;wgs84;29.08.2015;06.07.2016;hummock mire;;
komagdalen;hubedalen;ko_hu_hu_2b;HNY3-2016;70.312613993883133;30.112117985263467;wgs84;06.07.2016;NA;hummock mire;S750HK04275637;
komagdalen;hubedalen;ko_hu_sn_2;HNY4;70.311246989294887;30.125930020585656;wgs84;29.08.2015;NA;snowbed;S750HG03177870;
